"";"created_at";"screen_name";"text"
"1";2019-08-22 04:05:38;"JulianaAnjani1";"Program Jokowi periode kedua dalam meningkatkan rasio eletrifikasi energi dalam rangka penyedian energi listrik untuk seluruh rakyat indonesia #SDMUnggul #IndonesiaMaju #PersatuanIndonesia #JokowiHebat https://t.co/Wl0lYyVwyh"
"2";2019-08-22 04:04:13;"kp2kpbulian";"Direktur Jenderal Pajak dan keluarga besar Direktorat Jenderal Pajak mengucapkan Selamat Hari Ulang Tahun ke-74 Republik Indonesia. SDM unggul, Indonesia maju!
<U+2800><U+2800>
Dirgahayu kemerdekaan Indonesia!
<U+2800><U+2800>
#74thnIndonesia
#SDMUnggul
#IndonesiaMaju https://t.co/jzkzMApuVV"
"3";2019-08-22 04:04:12;"DramaYulli";"Program Jokowi periode kedua dalam meningkatkan rasio eletrifikasi energi dalam rangka penyedian energi listrik untuk seluruh rakyat indonesia #SDMUnggul #IndonesiaMaju #PersatuanIndonesia #JokowiHebat https://t.co/Wl0lYyVwyh"
"4";2019-08-22 04:03:57;"edyjunior52";"Jokowi: Pejabat Bandel dan Lelet Saya Copot Detik Itu Juga
#SDMUnggul
#IndonesiaMaju https://t.co/U8SpCiLPu2"
"5";2019-08-22 04:03:20;"radclifht";"Jokowi: Pejabat Bandel dan Lelet Saya Copot Detik Itu Juga
#SDMUnggul
#IndonesiaMaju https://t.co/Lf86nygNwb"
"6";2019-08-22 04:02:08;"IrpanPadillah";"Program Jokowi periode kedua dalam meningkatkan rasio eletrifikasi energi dalam rangka penyedian energi listrik untuk seluruh rakyat indonesia #SDMUnggul #IndonesiaMaju #PersatuanIndonesia #JokowiHebat https://t.co/Wl0lYyVwyh"
"7";2019-08-22 04:00:38;"selviaemanuella";"Berikut ini 100 besar hasil klasterisasi Perguruan Tinggi (PT) non-vokasi tahun 2019

Klasterisasi dilakukan untuk memetakan perguruan tinggi Indonesia yang berada di bawah naungan @Kemristekdikti.

#SDMUnggul #IndonesiaMaju https://t.co/fLoFP330Pb"
"8";2019-08-22 03:59:54;"KBRIHARARE";"#SahabatKemlu yuk ikuti Awan &amp; Malika dari masa depan u/ perjalanan flashback saat berlangsungnya #IAIDBali2019!

Mari melihat sdh sejauh apa #IndonesiaAfrica melangkah dlm bekerja sama u/ kesejahteraan rakyatnya pd link berikut: https://t.co/L39NiDxoNV

#SDMUnggul #IndonesiaMaju https://t.co/PIkcSjfJ5C"
"9";2019-08-22 03:59:11;"KBRIHARARE";"Selamat pagi #SahabatKemlu! #IAIDBali2019 telah usai kemarin, tapi kerja sama #IndonesiaAfrica untuk kesejahteraan bersama masih akan terus berlanjut! Mari simak video recap hari kedua kemarin! #SDMUnggul #IndonesiaMaju https://t.co/nL8BwSihVo"
"10";2019-08-21 17:32:00;"KBRIHARARE";"#SahabatKemlu selama dua hari terselenggaranya #IAIDBali2019 telah menghasilkan kesepakatan bisnis senilai 822 juta USD atau sekitar 12,3 trilyun Rupiah https://t.co/THNi9FBUr4 #IndonesiaAfrica #SDMUnggul #IndonesiaMaju https://t.co/8Fm2Vq9wHp"
